PING 10.35.102.2 (10.35.102.2) 56(84) bytes of data.
64 bytes from 10.35.102.2: icmp_seq=266 ttl=62 time=0.504 ms
64 bytes from 10.35.102.2: icmp_seq=267 ttl=62 time=0.517 ms
64 bytes from 10.35.102.2: icmp_seq=268 ttl=62 time=0.564 ms
64 bytes from 10.35.102.2: icmp_seq=269 ttl=62 time=0.516 ms
64 bytes from 10.35.102.2: icmp_seq=270 ttl=62 time=0.584 ms
64 bytes from 10.35.102.2: icmp_seq=271 ttl=62 time=0.586 ms
64 bytes from 10.35.102.2: icmp_seq=272 ttl=62 time=0.599 ms
64 bytes from 10.35.102.2: icmp_seq=273 ttl=62 time=0.483 ms
64 bytes from 10.35.102.2: icmp_seq=274 ttl=62 time=0.543 ms
64 bytes from 10.35.102.2: icmp_seq=275 ttl=62 time=0.506 ms
64 bytes from 10.35.102.2: icmp_seq=276 ttl=62 time=0.552 ms
64 bytes from 10.35.102.2: icmp_seq=277 ttl=62 time=0.591 ms
64 bytes from 10.35.102.2: icmp_seq=278 ttl=62 time=0.638 ms
64 bytes from 10.35.102.2: icmp_seq=279 ttl=62 time=0.597 ms
64 bytes from 10.35.102.2: icmp_seq=280 ttl=62 time=0.615 ms
64 bytes from 10.35.102.2: icmp_seq=281 ttl=62 time=0.707 ms
64 bytes from 10.35.102.2: icmp_seq=282 ttl=62 time=0.608 ms
64 bytes from 10.35.102.2: icmp_seq=283 ttl=62 time=0.579 ms
64 bytes from 10.35.102.2: icmp_seq=284 ttl=62 time=0.544 ms
64 bytes from 10.35.102.2: icmp_seq=285 ttl=62 time=0.578 ms
64 bytes from 10.35.102.2: icmp_seq=286 ttl=62 time=0.591 ms
64 bytes from 10.35.102.2: icmp_seq=287 ttl=62 time=0.567 ms
64 bytes from 10.35.102.2: icmp_seq=288 ttl=62 time=0.619 ms
64 bytes from 10.35.102.2: icmp_seq=289 ttl=62 time=0.526 ms
64 bytes from 10.35.102.2: icmp_seq=290 ttl=62 time=0.547 ms
64 bytes from 10.35.102.2: icmp_seq=291 ttl=62 time=0.554 ms
64 bytes from 10.35.102.2: icmp_seq=292 ttl=62 time=0.595 ms
64 bytes from 10.35.102.2: icmp_seq=293 ttl=62 time=0.589 ms
64 bytes from 10.35.102.2: icmp_seq=294 ttl=62 time=0.566 ms
64 bytes from 10.35.102.2: icmp_seq=295 ttl=62 time=0.593 ms
64 bytes from 10.35.102.2: icmp_seq=296 ttl=62 time=0.649 ms
64 bytes from 10.35.102.2: icmp_seq=297 ttl=62 time=0.614 ms
64 bytes from 10.35.102.2: icmp_seq=298 ttl=62 time=0.519 ms
64 bytes from 10.35.102.2: icmp_seq=299 ttl=62 time=0.524 ms
64 bytes from 10.35.102.2: icmp_seq=300 ttl=62 time=0.560 ms
64 bytes from 10.35.102.2: icmp_seq=301 ttl=62 time=0.586 ms
64 bytes from 10.35.102.2: icmp_seq=302 ttl=62 time=0.619 ms
64 bytes from 10.35.102.2: icmp_seq=303 ttl=62 time=0.522 ms
64 bytes from 10.35.102.2: icmp_seq=304 ttl=62 time=0.617 ms
64 bytes from 10.35.102.2: icmp_seq=305 ttl=62 time=0.466 ms
64 bytes from 10.35.102.2: icmp_seq=306 ttl=62 time=0.449 ms
64 bytes from 10.35.102.2: icmp_seq=307 ttl=62 time=0.594 ms
64 bytes from 10.35.102.2: icmp_seq=308 ttl=62 time=0.526 ms
64 bytes from 10.35.102.2: icmp_seq=309 ttl=62 time=0.623 ms

--- 10.35.102.2 ping statistics ---
309 packets transmitted, 272 received, 11% packet loss, time 308372ms
rtt min/avg/max/mdev = 0.397/0.574/1.769/0.139 ms
